scenario,pctExpungement,seller_prosecution_culture,prosecution_culture_v,prosecution_culture_s,trafficker_exposure,geographic_csw_normalization,crim_record_obstacle,em_services_capacity,st_services_capacity,lt_services_capacity,buyer_prosecution_culture,csw_acceptance,TotalTSS,TotalSS,TotalYouthTSS,pctSSCrimRecord,pctExitedCrimRecord,TotalNonTraffickedSS,pctTraffickedVsNontrafficked,EmServicesAdult,STServicesAdult,LTServicesAdult,Traffickers,Buyers,demand,cost
2,0.0,0.0555262153748977,0.234729903660382,0.114261587903287,0.052686152491079,0.0976744294369994,0.602443677702683,1836.96609637367,256.761828386186,92.2744023429295,0.0110191298800646,0.467011221481762,8915.713489952619,10852.542452746566,1095.7792104165858,0.3834778153943137,0.3834778153943137,1936.8289627939466,0.8215322380698199,789.9236925813002,237.01091851031242,88.58342624920552,2061.497932780287,19126.2712415879,185925.46598728638,187.04444229203088
3,0.0,0.0493336363380341,0.185711635138064,0.0889603315262941,0.0415856494217113,0.114205225041564,0.569945062838934,1639.6014868809,233.3412434709,102.195426175581,0.00999913381600006,0.495729254100323,11966.448554297487,15170.361203828621,956.9738044624684,0.5100120757480788,0.5100120757480788,3203.912649531134,0.7888044584777226,819.8007434404217,215.39191705004845,98.10760912855095,2331.2014104133686,20390.143783500007,199877.4060607353,197.3845186369614
4,0.0,0.05413025961176,0.235488121990975,0.11915286658187,0.0463859397714831,0.0999516407150449,0.549842260829037,1692.10945135171,225.384559751358,96.8187067098947,0.0116192852426882,0.523121126942958,12812.671795297138,16140.127103273568,1630.5077418379155,0.4584343804230302,0.4584343804230302,3327.45530797643,0.793839584615071,846.0547256758266,208.04728592431738,92.9459584414921,2553.051092643483,22494.39812348195,243753.1147517163,200.96558374648532
5,0.0,0.057396289749796,0.223913638748899,0.0823335924104658,0.0506687835018953,0.0951510099695708,0.547172106402757,1823.69203065131,230.919502810172,86.4835584156614,0.0110848355013944,0.452298769216376,8816.567703374028,11008.482160371641,1597.7333016220146,0.38974759025891986,0.38974759025891986,2191.9144569976124,0.8008885852685422,844.1823566992573,213.15646413245335,83.02421607902814,2032.7540847342564,19824.637455903725,203016.32241270065,205.27542507411334
6,0.0,0.0568794153070232,0.164354805372953,0.109989517322609,0.050849015942879,0.11211524453069,0.550212103700978,1991.49542185677,225.597690198727,84.3838308158693,0.0105270675746218,0.455103349502972,9681.607990690865,12554.411828960392,1319.1403893091897,0.31259082156565055,0.31259082156565055,2872.8038382695268,0.7711717699396661,878.1506582812408,208.24402172188874,81.00847758322772,2202.582410679839,20356.94341679359,214804.6337064598,190.9384851656657
7,0.0,0.0512778557278562,0.221767772434077,0.095849139422847,0.0432807918964789,0.113942923582333,0.504676672649091,1673.25763705425,214.27044245452,89.3886648850512,0.00845628834938301,0.597938691108957,10145.496507480231,13660.283594827732,1509.3959086620318,0.2941532179247385,0.2941532179247385,3514.7870873475003,0.7427002841523492,836.6288185270967,197.78810072723613,85.81311828964233,2261.9534295918106,20097.78641220401,210763.76199883712,225.27921757053605
8,0.0,0.0532368695035815,0.197411278162576,0.0922644317834975,0.0458722562407092,0.108379250543964,0.551149165649843,1740.93259339134,298.04870098777,115.163420555888,0.010989523960642,0.530364065338106,12320.237842554148,15598.338082471546,1253.277910283986,0.4474744059335607,0.4474744059335607,3278.1002399173976,0.7898429805415537,870.4662966956416,275.1218778348384,110.55688373364566,2488.055979071499,23479.964636693774,216788.88216270215,211.0672775089143
9,0.0,0.047969128959056,0.18230478088544,0.111895052171382,0.0484922554400526,0.0821521069476406,0.566748975085983,1828.69022458158,210.459753946282,101.252365456305,0.0112991024626573,0.438213994999378,7514.660031851948,9088.533812452397,1215.4910538714726,0.4103228694131572,0.4103228694131572,1573.8737806004492,0.826828637811299,630.7166568924929,194.2705421042472,97.20227083804599,1729.7259883960144,18712.842425742983,145978.7172752865,180.2535486078387
10,0.0,0.0446757710722394,0.180723184578342,0.107728577636559,0.0584397933683319,0.116801204729257,0.624910264189896,2051.48771486228,278.977501526414,80.6439637520785,0.0116513296158251,0.449073074886143,12145.58151891859,14517.934226104013,1122.6510065771718,0.4438482214174233,0.4438482214174233,2372.3527071854223,0.8365915790608965,1025.7438574310831,257.51769371666364,77.41820520198856,2324.51102865455,20506.01983570714,208969.69648274095,216.06711423707736
11,0.0,0.055470383862437,0.213960413300328,0.11298304625979,0.0441732008962216,0.0988359331780924,0.562305535553639,1967.58224199247,252.127307417652,106.516705512827,0.00954215623631699,0.564738034224656,10144.977408733175,13104.813740851603,1348.0406807822262,0.40208995770317707,0.40208995770317707,2959.836332118428,0.7741412895559334,927.6846187470564,232.73289915474257,102.25603729230711,2345.1689003666133,21006.147662329622,198813.03078413307,211.6935099705417
12,0.0,0.0572837777283324,0.183451510217022,0.081469326959676,0.0558526504705506,0.104721264054312,0.565737606220283,1728.82765225208,255.102869039528,98.2370219074145,0.00982820584594662,0.42547344994783,8659.017499566211,10708.042597477139,1417.0028995270304,0.3517363951812359,0.3517363951812359,2049.025097910928,0.8086461573851333,822.1315369425197,235.47957142108967,94.30754103111111,1910.7400293763405,19829.81976551691,186780.12396206625,190.39209517273468
13,0.0,0.0422398214036441,0.184908274363441,0.0965896635253575,0.0449222648838907,0.103848743171023,0.577052157634385,2124.92101320735,254.863128232305,86.6588992903962,0.0110580053680193,0.589626376368176,11196.35778857614,15117.949417316058,1909.7315171417151,0.32896690387176647,0.32896690387176647,3921.5916287399177,0.7406002943594892,1062.4605066036183,235.25827221442228,83.19254331877355,2652.1008130765977,25737.487853103918,276235.34663292154,199.93156836207982
14,0.0,0.0421251878661372,0.234101859683631,0.0908161455524197,0.058714207170687,0.112605775823147,0.583822808489674,2143.72468864852,220.540735775529,89.5697439586341,0.00925699085394945,0.438580412010327,9013.274484314636,10728.727545314636,1463.452030068824,0.3314906500860198,0.3314906500860198,1715.4530610000002,0.8401065686723344,864.3548817885868,203.5760637927829,85.98695420028193,1983.4967143119336,17966.43335831997,175743.51975106917,187.2464895507765
15,0.0,0.041556905117269,0.234258152695231,0.0840500845482522,0.0584785091906348,0.10536229393443,0.53448851601165,2251.38269995126,207.339909997501,114.923882965263,0.0102950123718796,0.510476607536351,8699.182679281541,11084.658518482005,1750.6581844668087,0.25341737924452573,0.25341737924452573,2385.475839200464,0.7847948283455877,836.3149372499809,191.39068615152627,110.32692764664567,2114.3642905962665,22201.443345811058,175726.44743216294,193.75884320730108
0,0.0,0.0417114875454693,0.198680793824994,0.110229033615806,0.0463932105278838,0.0911057114855578,0.625610933834892,1656.28364180451,219.42890830426,101.967489461951,0.0109697417907094,0.509505181611759,10095.531352481714,12709.708403151133,1046.703306092815,0.4802052922402382,0.4802052922402382,2614.1770506694193,0.7943165202734876,801.6871256939266,202.5497615116115,97.88878988346615,2033.1597902917508,16105.61536780378,183240.86937305616,216.94394696817542
26,0.0,0.0578599699718688,0.162090621920504,0.119345619913314,0.0409863600704471,0.116446658403843,0.577667625196334,1666.01758998558,293.1800278097,110.094459273414,0.00818978053127905,0.573297912602858,8976.30876056421,11326.495208276561,1813.0429860408356,0.3216426224014593,0.3216426224014593,2350.186447712351,0.792505412795742,833.0087949927616,270.6277179781584,105.69068090247063,2143.1362296733932,17705.712582636967,167495.96199863582,213.80099076087834
23,0.0,0.0411307138680341,0.220822269932609,0.0997962798869441,0.0497231691309866,0.114096665212739,0.70136814830987,2397.30907074101,250.385167707345,106.468249925624,0.0107022502088443,0.496628764144561,11380.369009232174,13911.805038729846,1218.0604812615395,0.6083137657797261,0.6083137657797261,2531.4360294976723,0.8180368383218233,782.6701133468192,231.12477019138228,102.20951992859221,2031.9265417829918,23984.560691784245,192735.3968979732,191.60260759527415
21,0.0,0.0505546420889832,0.21518472162573,0.113862051226037,0.0469824911760685,0.0875465235034129,0.544153553267682,2395.64766590374,243.476284677303,107.571823901589,0.00829449517115847,0.461441880034689,9305.412623810524,11082.265610182272,1853.9689123901223,0.401789786110149,0.401789786110149,1776.8529863717486,0.8396669914914154,816.9224161607729,224.74733970211275,103.26895094551863,2190.0291709965113,21677.37728876723,186765.58999580305,193.35385030653006
19,0.0,0.0422732276182923,0.203597232897017,0.104771941658387,0.0510627313873155,0.108886850250708,0.674942011620687,2345.34645778654,256.95746180049,107.608821582402,0.0117887867361585,0.544457858366396,9511.90643029227,12050.22746726854,1170.0220365854364,0.3725120033780609,0.3725120033780609,2538.321036976269,0.7893549276251431,904.192872739374,237.19150320043923,103.3044687190991,2208.5766455400826,18840.88545799901,179797.86746138392,227.22198469022004
1,0.0,0.0572512003671901,0.178623882203684,0.09008170460498,0.05812478094257,0.0825268819801311,0.588609006401214,1995.58900140865,250.157204060038,108.135083759412,0.0118137754167752,0.580148744644319,8990.03107059059,10810.02996876459,833.4572865582195,0.41087615716939563,0.41087615716939563,1819.998898173999,0.8316379414827844,888.559200955323,230.91434220925274,103.8096804090287,2097.986625297862,21843.774964482647,190145.99035400432,200.2122525344262
17,0.0,0.0475518566289943,0.233296643607643,0.098703175978527,0.0558755924233707,0.101804536220057,0.520791111391442,1781.5174259518,289.573748601019,105.311592316139,0.00887994757565286,0.412982746919194,11845.236411332009,14341.929220683183,1919.9531604972701,0.35681880207940925,0.35681880207940925,2496.692809351174,0.825916529712713,890.7587129758717,267.2988448624529,101.09912862348662,2533.1377399688313,21210.21555126705,218786.25385261638,225.0215878902846
18,0.0,0.0551643247072259,0.212559851843491,0.106294493424202,0.044842156921579,0.102486894357027,0.589923341538356,1660.06892607193,231.728196092345,96.1612045173353,0.0107883038805707,0.564215970643246,7839.736920989086,10327.878800221173,1145.3122440276331,0.3852792548971742,0.3852792548971742,2488.1418792320874,0.7590849072339226,728.7053654862428,213.90295023907458,92.31475633663509,1833.429393420456,16834.35955730649,161083.1892743505,205.6091637769939
35,0.0,0.0405460548775493,0.233544352854708,0.0863086258714983,0.0571900094091905,0.110032041480857,0.575798980628206,1779.03186664609,290.400372257975,83.1242479593679,0.0110598176257822,0.521582996729299,13196.142212529217,15409.540106526287,1367.891146323001,0.4825376681759112,0.4825376681759112,2213.3978939970693,0.8563618460579725,889.5159333230167,268.0618820842584,79.79927804098638,2469.3800373906147,25199.87885875471,248491.74889863853,175.77897988403635
20,0.0,0.0427474025033745,0.226816615205927,0.0851905724659054,0.0502943681542786,0.113402539347214,0.560649790629297,1848.56483185789,209.645330101909,96.5929730741295,0.0117152699338047,0.516384914212786,9044.354321639687,11310.53499235627,1145.4586232754268,0.332893819888792,0.332893819888792,2266.1806707165833,0.7996398338143967,924.2824159289167,193.5187662479029,92.7292541511575,2139.4698124319884,22499.83657390007,182965.36485185465,178.53195541887334
