scenario,pctExpungement,seller_prosecution_culture,prosecution_culture_v,prosecution_culture_s,trafficker_exposure,geographic_csw_normalization,crim_record_obstacle,em_services_capacity,st_services_capacity,lt_services_capacity,buyer_prosecution_culture,csw_acceptance,TotalTSS,TotalSS,TotalYouthTSS,pctSSCrimRecord,pctExitedCrimRecord,TotalNonTraffickedSS,pctTraffickedVsNontrafficked,EmServicesAdult,STServicesAdult,LTServicesAdult,Traffickers,Buyers,demand,cost
0,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,9919.765288,12391.40472,1412.516599,0.398517358,0.398517358,2471.639436,0.800535977,895.8449903,230.7692308,96,2225.436022,20697.53924,200890.3158,202.65087
1,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,7399.76724,10594.07156,919.1598393,0.392411844,0.392411844,3194.30432,0.698481901,694.2911738,230.7692308,96,1596.492291,19204.31455,186397.077,219.9308783
2,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,7978.312009,10957.96214,1038.463657,0.393967351,0.393967351,2979.65013,0.728083553,741.5164323,230.7692308,96,1746.277776,19517.17616,189433.7118,216.0914016
3,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,8517.162494,11325.32942,1146.167033,0.395328267,0.395328267,2808.166928,0.752045453,784.9844235,230.7692308,96,1882.694879,19827.34054,192444.1673,212.4046022
4,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,9024.313771,11693.86671,1244.749321,0.396517859,0.396517859,2669.552944,0.771713411,825.4533465,230.7692308,96,2008.588173,20133.028,195411.1697,208.8821158
5,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,9505.289175,12061.64709,1335.94246,0.397565725,0.397565725,2556.357916,0.788058969,863.4443075,230.7692308,96,2125.936912,20432.88711,198321.6023,205.5291462
6,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,9964.742116,12427.82411,1420.777432,0.398605646,0.398605646,2463.081998,0.801809072,899.3483712,230.7692308,96,2236.174123,20726.52895,201171.69,202.3400156
7,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,10404.46944,12790.05597,1500.678218,0.39944572,0.39944572,2385.586527,0.81348115,933.4267894,230.7692308,96,2340.403224,21012.36838,203946.0475,199.32091
8,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,10827.46049,13148.17795,1576.166744,0.400210395,0.400210395,2320.717461,0.823495128,965.9155139,230.7692308,96,2439.458178,21290.63557,206646.9088,196.459644
9,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,11235.6596,13501.71078,1647.88402,0.400914177,0.400914177,2266.051185,0.832165625,996.9924259,230.7692308,96,2534.005334,21561.28747,209273.8562,193.7475365
10,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,11764.12348,14004.53567,1694.98617,0.414393424,0.414393424,2240.412194,0.840022387,1000,230.7692308,96,2622.080888,21939.6266,212946.0158,190.0687934
11,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,12291.99592,14519.05235,1737.064841,0.428153376,0.428153376,2227.056424,0.846611447,1000,230.7692308,96,2706.391162,22319.08386,216629.0279,186.504104
12,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,12806.27071,15027.87159,1777.160707,0.44090171,0.44090171,2221.600874,0.852167963,1000,230.7692308,96,2787.590225,22687.12871,220201.2712,183.1607273
13,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,13306.01022,15528.20437,1815.628885,0.452543942,0.452543942,2222.194154,0.856893038,1000,230.7692308,96,2866.024115,23042.35995,223649.1457,180.0346167
14,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,13792.69678,16021.17844,1847.871388,0.463480231,0.463480231,2228.481666,0.860904011,1000,230.7692308,96,2941.936047,23386.20966,226986.5509,177.0988256
15,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,14253.94722,16490.30271,1884.085013,0.472026964,0.472026964,2236.355484,0.8643836,1000,230.7692308,96,3015.752245,23707.66049,230106.5527,174.4256585
16,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,14720.49063,16967.92442,1925.746096,0.481232203,0.481232203,2247.433786,0.867548103,1000,230.7692308,96,3087.28797,24030.25208,233237.6267,171.8224493
17,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,15173.81436,17435.58827,1960.513063,0.489809134,0.489809134,2261.773915,0.870278314,1000,230.7692308,96,3156.915984,24341.18482,236255.5398,169.3773793
18,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,15616.93556,17895.13678,1993.555503,0.497814655,0.497814655,2278.201222,0.872691601,1000,230.7692308,96,3224.767552,24642.2354,239177.5368,167.0688101
19,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,16049.91857,18346.09772,2025.515826,0.505236721,0.505236721,2296.179147,0.874841005,1000,230.7692308,96,3290.977852,24933.48839,242004.4383,164.8882245
20,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,16474.14708,18789.62192,2056.508905,0.512205736,0.512205736,2315.47484,0.876768418,1000,230.7692308,96,3355.649512,25216.07959,244747.2685,162.8207778
21,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,16888.89612,19224.57672,2086.856388,0.518649081,0.518649081,2335.6806,0.878505486,1000,230.7692308,96,3418.897133,25489.58924,247401.9531,160.8630691
22,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,17296.80603,19653.69355,2116.218071,0.524815925,0.524815925,2356.887518,0.880079156,1000,230.7692308,96,3480.784453,25756.09751,249988.6824,158.9959935
23,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,17695.99037,20074.61122,2145.122484,0.530523126,0.530523126,2378.620853,0.881510988,1000,230.7692308,96,3541.418787,26014.33652,252495.1503,157.2229392
24,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,18087.92511,20488.82237,2173.399006,0.535906118,0.535906118,2400.897257,0.882819168,1000,230.7692308,96,3600.85995,26265.51677,254933.1057,155.5318195
25,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,18474.16333,20897.95135,2200.777005,0.541100899,0.541100899,2423.788019,0.884017913,1000,230.7692308,96,3659.160585,26510.87422,257314.5452,153.9113457
26,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,18852.69113,21299.54816,2227.888964,0.545919027,0.545919027,2446.857036,0.885121646,1000,230.7692308,96,3716.406718,26749.0697,259626.4706,152.3661843
27,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,19224.95536,21695.15317,2254.483728,0.55048724,0.55048724,2470.19781,0.886140568,1000,230.7692308,96,3772.640312,26981.25582,261880.069,150.8862757
28,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,19591.24138,22084.99015,2280.59032,0.554825515,0.554825515,2493.748769,0.887083999,1000,230.7692308,96,3827.911549,27207.73772,264078.3023,149.4670705
29,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,19951.81447,22469.27279,2306.235056,0.558951768,0.558951768,2517.458312,0.887959956,1000,230.7692308,96,3882.266571,27428.79945,266223.9275,148.1044413
30,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,20306.92181,22848.2049,2331.441825,0.562882111,0.562882111,2541.283083,0.888775372,1000,230.7692308,96,3935.747924,27644.70561,268319.5126,146.7946354
31,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,20656.79383,23221.98034,2356.232484,0.566631055,0.566631055,2565.186515,0.889536272,1000,230.7692308,96,3988.394948,27855.70273,270367.4507,145.5342346
32,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,21001.64581,23590.78354,2380.627029,0.570211712,0.570211712,2589.137724,0.890247913,1000,230.7692308,96,4040.244104,28062.0208,272369.9739,144.3201184
33,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,21341.6791,23954.78964,2404.64388,0.573635946,0.573635946,2613.110545,0.890914903,1000,230.7692308,96,4091.329267,28263.87445,274329.1654,143.1494335
34,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,21677.08229,24314.16508,2428.300008,0.57691452,0.57691452,2637.082793,0.891541298,1000,230.7692308,96,4141.681973,28461.46428,276246.9723,142.0195652
35,0,0.05,0.2,0.1,0.05,0.1,0.6,2000,250,100,0.01,0.5,22008.03228,24669.0679,2451.611129,0.58005722,0.58005722,2661.035625,0.892130678,1000,230.7692308,96,4191.331648,28654.97788,278125.2153,140.9281131
